coap.version,coap.type,coap.token_len,coap.mid,coap.opt.name,coap.opt.length,coap.opt.length_ext,coap.code,coap.payload_length,coap.opt.desc,coap.opt.delta,coap.opt.proxy_uri,attack
1,0,2,22998,2,2,11,1,-1,1,1,8,0
1,2,2,22998,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,47393,2,2,11,3,16,1,1,11,0
1,2,2,47393,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,29282,2,2,11,2,424,1,1,6,1
1,2,2,29282,1,1,8,65,-1,2,2,6,0
1,0,2,55804,2,2,11,1,-1,1,1,6,0
1,2,2,55804,-1,-1,-1,69,424,-1,-1,-1,0
1,0,2,53643,2,2,11,1,-1,1,1,11,0
1,2,2,53643,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,48348,2,2,11,1,-1,1,1,8,0
1,2,2,48348,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,27998,2,2,11,3,13,1,1,8,0
1,2,2,27998,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,19417,2,2,11,2,259,1,1,6,1
1,2,2,19417,1,1,8,65,-1,2,2,6,0
1,0,2,61763,2,2,11,2,399,1,1,6,1
1,2,2,61763,1,1,8,65,-1,2,2,6,0
1,0,2,35075,2,2,11,3,12,1,1,6,0
1,2,2,35075,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,1199,2,2,11,1,-1,1,1,6,0
1,2,2,1199,-1,-1,-1,69,12,-1,-1,-1,0
1,0,2,28593,2,2,11,1,-1,1,1,11,0
1,2,2,28593,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,11565,2,2,11,1,-1,1,1,8,0
1,2,2,11565,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,27207,2,2,11,3,16,1,1,11,0
1,2,2,27207,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,55163,2,2,11,2,422,1,1,6,1
1,2,2,55163,1,1,8,65,-1,2,2,6,0
1,0,2,65113,2,2,11,2,481,1,1,6,1
1,2,2,65113,1,1,8,65,-1,2,2,6,0
1,0,2,7121,2,2,11,3,13,1,1,8,0
1,2,2,7121,-1,-1,-1,68,-1,-1,-1,-1,0
